Time,Usage,UserID
2022-06-20 15:01:01.595086,6938,1
2022-06-20 16:01:01.595395,9182,1
2022-06-20 17:01:01.595499,11187,1
2022-06-20 18:01:01.595589,9867,1
2022-06-20 19:01:01.595679,10013,1
2022-06-20 20:01:01.595770,7902,1
2022-06-20 21:01:01.595866,9735,1
2022-06-20 22:01:01.596175,20016,1
2022-06-20 23:01:01.596316,10620,1
2022-06-21 00:01:01.596433,10439,1
2022-06-21 01:01:01.604767,10349,1
2022-06-21 02:01:01.604891,12134,1
2022-06-21 03:01:01.605036,8194,1
2022-06-21 04:01:01.605134,10654,1
2022-06-21 05:01:01.605215,13244,1
2022-06-21 06:01:01.605298,11825,1
2022-06-21 07:01:01.605378,11214,1
2022-06-21 08:01:01.605457,10171,1
2022-06-21 09:01:01.605539,12461,1
2022-06-21 10:01:01.605617,24286,1
2022-06-21 11:01:01.605694,13735,1
2022-06-21 12:01:01.605782,13369,1
2022-06-21 13:01:01.605867,13067,1
2022-06-21 14:01:01.605945,14818,1
2022-06-21 15:01:01.606032,10344,1
2022-06-21 16:01:01.606110,13210,1
2022-06-21 17:01:01.606204,15911,1
2022-06-21 18:01:01.606281,13691,1
2022-06-21 19:01:01.606354,13567,1
2022-06-21 20:01:01.606424,13344,1
2022-06-21 21:01:01.606507,14667,1
2022-06-21 22:01:01.606584,28406,1
2022-06-21 23:01:01.606660,15989,1
2022-06-22 00:01:01.606732,16509,1
2022-06-22 01:01:01.606797,16386,1
2022-06-22 02:01:01.606864,17832,1
2022-06-22 03:01:01.606945,13927,1
2022-06-22 04:01:01.607085,17289,1
2022-06-22 05:01:01.607202,20550,1
2022-06-22 06:01:01.607295,17103,1
2022-06-22 07:01:01.607379,15882,1
2022-06-22 08:01:01.607467,14684,1
2022-06-22 09:01:01.607755,16007,1
2022-06-22 10:01:01.607878,27128,1
2022-06-22 11:01:01.607969,17727,1
2022-06-22 12:01:01.608058,17412,1
2022-06-22 13:01:01.608186,18252,1
2022-06-22 14:01:01.608272,19263,1
2022-06-22 15:01:01.608351,14358,1
2022-06-22 16:01:01.608444,18717,1
2022-06-22 17:01:01.608542,22016,1
2022-06-22 18:01:01.608638,19176,1
2022-06-22 19:01:01.608728,18111,1
2022-06-22 20:01:01.608827,17507,1
2022-06-22 21:01:01.608922,19828,1
2022-06-22 22:01:01.609028,32638,1
2022-06-22 23:01:01.609140,22145,1
2022-06-23 00:01:01.609225,20637,1
2022-06-23 01:01:01.609302,21492,1
2022-06-23 02:01:01.609386,22388,1
2022-06-23 03:01:01.609553,15663,1
2022-06-23 04:01:01.609656,20322,1
2022-06-23 05:01:01.609764,24438,1
2022-06-23 06:01:01.609926,20616,1
2022-06-23 07:01:01.610070,20260,1
2022-06-23 08:01:01.610241,18134,1
2022-06-23 09:01:01.610389,21714,1
2022-06-23 09:01:01.610389,6938,1
2022-06-23 10:01:01.610538,9182,1
2022-06-23 11:01:01.610690,11187,1
2022-06-23 12:01:01.610836,9867,1
2022-06-23 13:01:01.610932,10013,1
2022-06-23 14:01:01.611113,7902,1
2022-06-23 15:01:01.611215,9735,1
2022-06-23 16:01:01.611293,20016,1
2022-06-23 17:01:01.611376,10620,1
2022-06-23 18:01:01.611459,10439,1
2022-06-23 19:01:01.611554,10349,1
2022-06-23 20:01:01.611635,12134,1
2022-06-23 21:01:01.611716,8194,1
2022-06-23 22:01:01.611792,10654,1
2022-06-23 23:01:01.611873,13244,1
